Ticker,Gate_Passed,Return_Type,Original_E_Ret,E_Total_3M,Realized_3M,Gap,Adj_Weight,Vol_3M,Adjustment,Adjusted_E_Total,Adjustment_Applied
NVDA,False,CAPM,0.042521,0.042521,0.059417,0.016896,0.0214,0.202777,0.004341,0.046862,True
AAPL,True,Grinold-Kahn,0.007622,0.032315,-0.024846,0.057161,0.2445,0.133327,-0.0326,-0.000285,True
MSFT,False,CAPM,0.024963,0.024963,-0.170438,0.195401,2.2255,0.141285,-0.314429,-0.289466,True
AMZN,False,CAPM,0.028289,0.028289,-0.049128,0.077417,0.4462,0.126934,-0.056634,-0.028345,True
GOOGL,True,Grinold-Kahn,0.002755,0.027448,0.050515,0.023067,0.0399,0.18965,0.007568,0.035015,True
GOOG,True,Grinold-Kahn,-0.00231,0.022383,0.050292,0.02791,0.0584,0.187353,0.010944,0.033327,True
META,False,CAPM,0.02994,0.02994,0.099157,0.069217,0.3576,0.157712,0.0564,0.086341,True
AVGO,False,CAPM,0.041884,0.041884,-0.020531,0.062416,0.2913,0.217913,-0.063469,-0.021585,True
TSLA,True,Grinold-Kahn,-0.040542,-0.015849,0.051649,0.067498,0.3402,0.269657,0.091744,0.075895,True
BRK-B,False,CAPM,0.013842,0.013842,-0.011654,0.025496,0.0487,0.066831,-0.003258,0.010584,True
WMT,True,Grinold-Kahn,0.038259,0.062952,0.157136,0.094184,0.6546,0.075368,0.049336,0.112288,True
LLY,False,CAPM,0.019196,0.019196,-0.046843,0.066039,0.3258,0.162591,-0.052971,-0.033776,True
JPM,True,Grinold-Kahn,0.002975,0.027668,0.046458,0.01879,0.0265,0.084185,0.002229,0.029897,True
V,False,CAPM,0.019272,0.019272,-0.019607,0.038879,0.1133,0.053609,-0.006075,0.013197,True
XOM,False,CAPM,0.015853,0.015853,0.236121,0.220269,2.5127,0.078984,0.198462,0.214315,True
JNJ,False,CAPM,0.007366,0.007366,0.17966,0.172294,1.8913,0.078104,0.147718,0.155084,True
MU,False,CAPM,0.044705,0.044705,0.72542,0.680715,3.0,0.300371,0.901114,0.945819,True
MA,False,CAPM,0.01911,0.01911,-0.024728,0.043838,0.144,0.050025,-0.007205,0.011905,True
COST,False,CAPM,0.014949,0.014949,0.092987,0.078038,0.4532,0.056639,0.025672,0.04062,True
ORCL,True,Grinold-Kahn,-0.074276,-0.049583,-0.291705,0.242122,2.6962,0.327781,-0.883759,-0.933343,True
ABBV,True,Grinold-Kahn,-0.021336,0.003356,-0.041748,0.045105,0.1525,0.097585,-0.014877,-0.011521,True
BAC,False,CAPM,0.024424,0.024424,0.03386,0.009436,0.0067,0.113178,0.000756,0.02518,True
HD,False,CAPM,0.01848,0.01848,0.113859,0.095379,0.6708,0.096841,0.064957,0.083437,True
PG,False,CAPM,0.007647,0.007647,0.070362,0.062715,0.294,0.039829,0.011711,0.019358,True
CVX,True,Grinold-Kahn,-0.003414,0.021279,0.213788,0.19251,2.1869,0.097155,0.212465,0.233744,True
