ticker,ticker_slug,p_latest,ic_full,ic_pvalue,gap_signed,gap_abs,ic_degenerate,te_3m,e_alpha_3m_log,test_acc,test_period_start,test_period_end,n_test_samples,status,refresh_decision,reliability_tag,warnings
NVDA,NVDA,0.5833625561206953,-0.6556582831870418,5.811626766640032e-33,0.44508754863813227,0.44508754863813227,False,,,0.3424124513618677,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
AAPL,AAPL,0.5172887150701589,0.42719055402226036,8.000214822062988e-13,0.09193049168730105,0.09193049168730105,False,,,0.6614785992217899,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
MSFT,MSFT,0.6599094961877733,-0.3243095930232558,1.0481754854122444e-07,0.5128537318712416,0.5128537318712416,False,,,0.2723735408560311,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
AMZN,AMZN,0.752638325498098,-0.05700346688082526,0.3627588779202065,0.4446763353378139,0.4446763353378139,False,,,0.40077821011673154,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
GOOGL,GOOGL,0.28666898859748263,0.659748693557144,1.7241394559679492e-33,0.08780067209055542,0.08780067209055542,False,,,0.7315175097276264,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
GOOG,GOOG,0.35543391749941633,0.6274043355804904,1.5726154373453085e-29,-0.01949946940219316,0.01949946940219316,False,,,0.7354085603112841,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
META,META,0.43070719964956405,-0.6900846077278073,1.1202903773421377e-37,0.6331314113901663,0.6331314113901663,False,,,0.13618677042801555,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
AVGO,AVGO,0.5556853025881481,-0.1048858700570084,0.09336997832968691,0.29023700035373184,0.29023700035373184,False,,,0.48249027237354086,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
TSLA,TSLA,0.7275443154131171,0.7289795606732421,7.244676423775598e-44,-0.05351963211885391,0.05351963211885391,False,,,0.7898832684824902,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
BRK-B,BRK_B,0.5138805438212302,0.4218240996289928,1.6448372430788832e-12,0.36840290060134423,0.36840290060134423,False,,,0.42023346303501946,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
WMT,WMT,,,,,,,,,,,,,skipped_permanent_ineligible,ineligible_cached,NA,permanent ineligible cache: validation 단일 클래스(1)
LLY,LLY,0.5973882717344798,0.11501080218984706,0.06563785755380633,0.2788733639900955,0.2788733639900955,False,,,0.48249027237354086,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
JPM,JPM,0.5661263556216138,0.07266452131028865,0.24574056632221492,0.23593473646975593,0.23593473646975593,False,,,0.5447470817120622,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
V,V,0.7706603123221792,-0.2770443568455343,6.536017898025073e-06,0.3848956490979837,0.3848956490979837,False,,,0.36964980544747084,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
XOM,XOM,0.6469028187369319,-0.6877078431816124,2.4883753683340584e-37,0.5992836929607358,0.5992836929607358,False,,,0.19844357976653695,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
JNJ,JNJ,0.29313266308366587,-0.30427959008234545,6.605969185533745e-07,0.456964096215069,0.456964096215069,False,,,0.23735408560311283,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
MU,MU,0.14732070846727485,-0.41830278368473434,2.621359264813233e-12,0.7095772904138663,0.7095772904138663,False,,,0.1245136186770428,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
MA,MA,0.7080758044105614,-0.2926333024160709,1.8123136854543931e-06,0.3724310222851079,0.3724310222851079,False,,,0.3968871595330739,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
COST,COST,0.8099603922539855,0.5705309474255723,1.3591682337442052e-23,0.3011894234170499,0.3011894234170499,False,,,0.5408560311284046,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
ORCL,ORCL,0.16957244809378638,0.7310806148764817,3.126749427657088e-44,-0.024146621860629658,0.024146621860629658,False,,,0.7821011673151751,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
ABBV,ABBV,0.3949414593577584,0.4265733870237987,8.697270634708032e-13,0.1584232401839405,0.1584232401839405,False,,,0.6108949416342413,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
BAC,BAC,0.4231143574766303,-0.2222416240611709,0.00033011826631154233,0.3172311637778564,0.3172311637778564,False,,,0.39299610894941633,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
HD,HD,0.8294594462452335,0.5267036071396253,9.562960368931265e-20,0.36558188892819243,0.36558188892819243,False,,,0.4980544747081712,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
PG,PG,0.37441520739072337,0.016635230974572437,0.7907002590894536,0.15143261407852848,0.15143261407852848,False,,,0.603112840466926,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
CVX,CVX,0.45706508693500136,-0.11699026106234729,0.061097394000181805,0.2747081712062257,0.2747081712062257,False,,,0.5252918287937743,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
GE,GE,0.25809251564737334,-0.65816088476156,2.769503367867748e-33,0.36589140431552886,0.36589140431552886,False,,,0.48638132295719844,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
CAT,CAT,0.4131114626844181,-0.47599906117093466,6.142736591152243e-16,0.3161655465157411,0.3161655465157411,False,,,0.4474708171206226,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
KO,KO,0.46089560406072216,-0.3152422574880101,2.4526312060634584e-07,0.18166342412451364,0.18166342412451364,False,,,0.5058365758754864,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
NFLX,NFLX,0.6762242678786449,0.1946465534793231,0.0017170669431311348,0.279633887513265,0.279633887513265,False,,,0.5680933852140078,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
AMD,AMD,0.535636738544885,0.1467655642023346,0.018798956691684944,0.3705965909090909,0.3705965909090909,False,,,0.3828125,2025-01-02,2026-01-09,256.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
PLTR,PLTR,0.5109106785375125,-0.36435333906433803,1.7357567946477748e-09,0.1431390798282106,0.1431390798282106,False,,,0.6147859922178989,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
CSCO,CSCO,0.35994948377857644,-0.004027491855940638,0.9487702685666848,0.4486337106473293,0.4486337106473293,False,,,0.3229571984435798,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
LRCX,LRCX,0.22120210464054782,-0.2684732999276083,1.2808863903931886e-05,0.18889724089140436,0.18889724089140436,False,,,0.5758754863813229,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05)
MRK,MRK,,,,,,,,,,,,,skipped_permanent_ineligible,ineligible_cached,NA,permanent ineligible cache: validation 단일 클래스(1)
AMAT,AMAT,0.2475157917651872,-0.28615552325581395,3.117342535042122e-06,0.30728245489918643,0.30728245489918643,False,,,0.48249027237354086,2025-01-02,2026-01-12,257.0,success,refresh_required,LOW,신뢰도 낮음(IC<=0 또는 p>=0.05) | ensemble train_test_gap_abs > 0.25
PM,PM,0.5865365469178516,0.17347694778753053,0.005292578593715952,0.20091528121683755,0.20091528121683755,False,,,0.5797665369649806,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
MS,MS,0.5036068515834777,0.20188501040629803,0.0011368861033994734,0.22966926070038907,0.22966926070038907,False,,,0.5953307392996109,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,
GS,GS,0.48961170201053356,0.3154034419961994,2.416434971902522e-07,0.30043332154227087,0.30043332154227087,False,,,0.5836575875486382,2025-01-02,2026-01-12,257.0,success,refresh_required,OK,ensemble train_test_gap_abs > 0.25
